code,first_letter,level,name,parent_code,region
230828,t,3,汤原县,230800,0
230881,t,3,同江市,230800,0
230882,f,3,富锦市,230800,0
230883,f,3,抚远市,230800,0
230902,x,3,新兴区,230900,0
230903,t,3,桃山区,230900,0
230904,q,3,茄子河区,230900,0
230921,b,3,勃利县,230900,0
231002,d,3,东安区,231000,0
231003,y,3,阳明区,231000,0
231004,a,3,爱民区,231000,0
231005,x,3,西安区,231000,0
231025,l,3,林口县,231000,0
231081,s,3,绥芬河市,231000,0
231083,h,3,海林市,231000,0
231084,n,3,宁安市,231000,0
231085,m,3,穆棱市,231000,0
231086,d,3,东宁市,231000,0
231102,a,3,爱辉区,231100,0
231121,n,3,嫩江县,231100,0
231123,x,3,逊克县,231100,0
231124,s,3,孙吴县,231100,0
231181,b,3,北安市,231100,0
231182,w,3,五大连池市,231100,0
231202,b,3,北林区,231200,0
231221,w,3,望奎县,231200,0
231222,l,3,兰西县,231200,0
231223,q,3,青冈县,231200,0
231224,q,3,庆安县,231200,0
231225,m,3,明水县,231200,0
231226,s,3,绥棱县,231200,0
231281,a,3,安达市,231200,0
231282,z,3,肇东市,231200,0
231283,h,3,海伦市,231200,0
232701,m,3,漠河市,232700,0
232721,h,3,呼玛县,232700,0
232722,t,3,塔河县,232700,0
310101,h,3,黄浦区,310100,0
310104,x,3,徐汇区,310100,0
310105,z,3,长宁区,310100,0
310106,j,3,静安区,310100,0
310107,p,3,普陀区,310100,0
310109,h,3,虹口区,310100,0
310110,y,3,杨浦区,310100,0
310112,m,3,闵行区,310100,0
310113,b,3,宝山区,310100,0
310114,j,3,嘉定区,310100,0
310115,p,3,浦东新区,310100,0
310116,j,3,金山区,310100,0
310117,s,3,松江区,310100,0
310118,q,3,青浦区,310100,0
310120,f,3,奉贤区,310100,0
310151,c,3,崇明区,310100,0
320102,x,3,玄武区,320100,0
320104,q,3,秦淮区,320100,0
320105,j,3,建邺区,320100,0
320106,g,3,鼓楼区,320100,0
320111,p,3,浦口区,320100,0
320113,q,3,栖霞区,320100,0
320114,y,3,雨花台区,320100,0
320115,j,3,江宁区,320100,0
320116,l,3,六合区,320100,0
320117,l,3,溧水区,320100,0
320118,g,3,高淳区,320100,0
320205,x,3,锡山区,320200,0
320206,h,3,惠山区,320200,0
320211,b,3,滨湖区,320200,0
320213,l,3,梁溪区,320200,0
320214,x,3,新吴区,320200,0
320281,j,3,江阴市,320200,0
320282,y,3,宜兴市,320200,0
320302,g,3,鼓楼区,320300,0
320303,y,3,云龙区,320300,0
320305,j,3,贾汪区,320300,0
320311,q,3,泉山区,320300,0
320312,t,3,铜山区,320300,0
320321,f,3,丰县,320300,0
320322,p,3,沛县,320300,0
320324,s,3,睢宁县,320300,0
320381,x,3,新沂市,320300,0
320382,p,3,邳州市,320300,0
320402,t,3,天宁区,320400,0
320404,z,3,钟楼区,320400,0
320411,x,3,新北区,320400,0
320412,w,3,武进区,320400,0
320413,j,3,金坛区,320400,0
320481,l,3,溧阳市,320400,0
320505,h,3,虎丘区,320500,0
320506,w,3,吴中区,320500,0
320507,x,3,相城区,320500,0
320508,g,3,姑苏区,320500,0
320509,w,3,吴江区,320500,0
320581,c,3,常熟市,320500,0
320582,z,3,张家港市,320500,0
320583,k,3,昆山市,320500,0
320585,t,3,太仓市,320500,0
320602,c,3,崇川区,320600,0
320611,g,3,港闸区,320600,0
320612,t,3,通州区,320600,0
320623,r,3,如东县,320600,0
320681,q,3,启东市,320600,0
320682,r,3,如皋市,320600,0
320684,h,3,海门市,320600,0
320685,h,3,海安市,320600,0
320703,l,3,连云区,320700,0
320706,h,3,海州区,320700,0
320707,g,3,赣榆区,320700,0
320722,d,3,东海县,320700,0
320723,g,3,灌云县,320700,0
320724,g,3,灌南县,320700,0
320803,h,3,淮安区,320800,0
320804,h,3,淮阴区,320800,0
320812,q,3,清江浦区,320800,0
320813,h,3,洪泽区,320800,0
320826,l,3,涟水县,320800,0
320830,x,3,盱眙县,320800,0
320831,j,3,金湖县,320800,0
320902,t,3,亭湖区,320900,0
320903,y,3,盐都区,320900,0
320904,d,3,大丰区,320900,0
320921,x,3,响水县,320900,0
320922,b,3,滨海县,320900,0
320923,f,3,阜宁县,320900,0
320924,s,3,射阳县,320900,0
320925,j,3,建湖县,320900,0
320981,d,3,东台市,320900,0
321002,g,3,广陵区,321000,0
321003,h,3,邗江区,321000,0
321012,j,3,江都区,321000,0
321023,b,3,宝应县,321000,0
321081,y,3,仪征市,321000,0
321084,g,3,高邮市,321000,0
321102,j,3,京口区,321100,0
321111,r,3,润州区,321100,0
